"id";"player";"to";"from";"price"
1;"J.Cancelo";"munchen";"mancity";"loan"
2;"Maximo Perrone";"mancity";"Velez Sarsfield";"undisclosed"
3;"Leandro Trossard";"arsenal";"Brighton";"27m"
4;"Jakub Kiwior";"arsenal";"Spezia";"20m"
5;"Jorginho";"arsenal";"Chelsea";"12m"
6;"Albert Sambi Lokonga";"Crystal Palace";"arsenal";"loan"
7;"Benoit Badiashile";"Chelsea";"Monaco";"32m"
8;"Joao Felix";"Chelsea";"Atletico Madrid";"loan"
9;"Enzo Fernandez ";"Chelsea";"Benfica";"107m"
10;"Mykhaylo Mudryk";"Chelsea";"Shakhtar Donetsk";"89m"
11;"Cesare Casadei";"Reading";"Chelsea";"loan"
12;"Malo Gusto";"Lyon";"Chelsea";"loan"
13;"Jorginho";"arsenal";"Chelsea";"12m"
14;"Cody Gakpo";"liverpool";"PSV";"37m"
15;"Jarell Quansah";"Bristol Rovers";"liverpool";"loan"
16;"Jake Cain";"Swindon";"liverpool";"undisclosed"
17;"Marcel Sabitzer";"manu";"munchen";"loan"
18;"Jack Butland";"manu";"palace";"loan"
19;"Wout Weghorst";"manu";"Burnley";"loan"
20;"Cristiano Ronaldo";"Al-Nassr";"manu";"FA"
21;"Arnaut Danjuma";"spurs";"Villarreal";"loan"
22;"Pedro Porro";"spurs";"Sporting";"loan"
